"1","2","3","4"
21.18,0.691,2.365,7.648
17.55,0.634,2.036,6.444
191.3,11.57,39.06,37.27
154.2,2.537,16.65,28.91
100.6,1.616,10.32,22.93
51.12,1.092,5.801,14.85
34.85,0.792,4.011,11.33
27.55,0.637,3.112,9.225
22.95,0.553,2.395,7.701
19.3,0.508,1.998,6.565
17.17,0.477,1.824,5.781
16.1,0.468,1.674,5.266
14.92,0.418,1.583,4.79
15.7,0.509,1.657,5.058
14.86,0.424,1.513,4.321
12.73,0.362,1.351,3.917
11.82,0.341,1.321,3.659
10.99,0.308,1.228,3.361
9.78,0.282,1.125,3.141
9.754,0.296,1.156,3.119
28.75,2.493,9.304,4.438
135.4,4.745,49.47,7.714
156,2.426,33.44,12.44
60.29,1.726,9.514,9.402
36.78,1.075,5.901,7.382
25.33,0.703,3.735,6.248
19.24,0.576,2.816,5.418
23.35,2.275,4.607,5.63
68.01,3.1,12.7,14.84
133.4,2.876,13.45,21.18
73.39,3.997,10.53,12.78
34.07,0.991,4.194,9.07
28.02,2.064,3.52,7.94
32.06,2.461,4.944,7.369
59,7.299,12.39,9.573
170.6,4.877,35.21,22.69
76.61,2.087,12.6,17.06
49.85,2.53,8.641,14.66
171.9,3.855,27.46,40.07
220.7,3.565,24.93,60.88
91.49,1.64,9.407,28.36
52.96,1.18,5.305,18.31
37.01,0.935,3.894,13.75
29.31,0.782,3.147,11.29
29.82,2.134,3.57,11.77
54.17,1.951,6.293,11.44
29.65,1.148,3.531,9.061
30.51,1.152,3.339,9.961
25.87,0.899,2.655,9.902
22.48,0.797,2.231,10.09
18.52,0.816,1.915,7.959
58.83,2.945,10.83,17.13
122.6,3.403,20.39,23.94
46.49,1.245,5.502,13.96
30.35,0.911,3.589,10.85
24.47,0.827,2.935,8.809
20.84,0.653,2.486,7.42
17.38,0.54,2.082,6.36
16.15,0.529,1.889,5.627
15.39,0.494,1.646,5.033
14.27,0.436,1.428,4.477
13.25,0.384,1.303,4.066
12.41,0.346,1.217,3.703
11.85,0.346,1.149,3.503
11.59,0.434,1.823,4.176
22.78,2.014,4.297,6.081
24.65,0.977,3.553,5.825
18.35,0.827,2.329,6.694
14.8,0.815,1.956,4.808
28.62,1.949,5.644,8.821
54.25,5.557,7.323,13.83
147.1,4.421,20.07,20.78
45.21,1.194,5.079,11.63
28.1,0.817,3.19,8.928
21.27,0.649,2.437,7.468
17.81,0.57,2.085,6.529
21.25,1.916,3.959,7.672
74.34,2.524,10.47,11.06
32.55,0.795,3.814,7.402
22.79,0.575,2.679,6.48
19,0.526,2.159,5.916
17.25,0.478,2.061,5.57
16.46,0.449,1.951,4.99
42.49,1.401,6.074,14.01
70.27,1.027,7.148,15.67
43.65,0.688,4.306,12.26
34.44,0.892,3.677,10.01
39.05,1.305,5.271,11.72
34.06,0.727,3.549,9.277
23.05,0.536,2.392,7.625
24.73,0.509,2.235,11.08
37.25,0.472,2.209,9.227
20.37,0.381,1.728,7.462
17.47,0.326,1.537,6.348
14.73,0.299,1.295,5.632
13.06,0.277,1.175,5.055
11.8,0.264,1.058,4.513
10.99,0.245,0.97,4.121
10.05,0.23,0.913,3.762
9.31,0.221,0.794,3.515
8.856,0.208,0.788,3.256
8.325,0.203,0.801,3.067
7.845,0.189,0.754,2.852
7.494,0.194,0.712,2.814
7.456,0.187,0.687,2.921
7.039,0.17,0.65,2.662
6.664,0.162,0.617,2.514
6.423,0.162,0.59,2.391
6.267,0.153,0.566,2.292
5.96,0.144,0.543,2.16
5.563,0.14,0.523,2.081
5.363,0.14,0.505,2.04
5.291,0.146,0.489,2.001
5.2,0.136,0.475,1.981
5.119,0.133,0.462,1.92
4.763,0.131,0.451,1.851
4.562,0.127,0.441,1.775
4.058,0.123,0.43,1.74
4.065,0.125,0.421,1.711
3.873,0.123,0.412,1.634
3.447,0.12,0.402,1.621
3.449,0.117,0.392,1.568
3.395,0.111,0.383,1.513
3.226,0.106,0.373,1.43
3.106,0.107,0.364,1.42
3.05,0.108,0.355,1.397
3.041,0.108,0.348,1.407
2.984,0.108,0.34,1.404
2.956,0.104,0.335,1.347
2.883,0.103,0.329,1.325
2.807,0.102,0.32,1.292
2.897,0.097,0.303,1.243
2.653,0.098,0.28,1.226
2.445,0.095,0.262,1.23
2.639,0.09,0.256,1.103
2.63,0.09,0.256,1
2.607,0.088,0.258,0.937
2.564,0.086,0.26,0.883
2.521,0.085,0.261,0.867
2.516,0.088,0.265,0.895
2.738,0.108,0.265,1.118
2.587,0.093,0.264,1.005
2.375,0.088,0.255,0.902
2.265,0.091,0.244,0.878
2.239,0.09,0.237,0.844
2.23,0.092,0.242,0.824
2.51,0.1,0.257,0.949
2.537,0.098,0.275,0.915
2.661,0.117,0.278,0.956
2.573,0.095,0.256,0.917
2.494,0.092,0.238,0.886
2.5,0.106,0.229,1.012
2.691,0.099,0.228,0.976
2.96,0.108,0.216,1.188
7.682,0.116,0.67,1.393
4.458,0.094,0.371,1.098
7.933,0.729,2.001,1.964
11.46,0.189,1.241,2.079
8.586,0.141,0.611,1.681
6.764,0.136,0.544,1.69
4.715,0.167,0.41,1.397
4.135,0.156,0.369,1.304
7.007,0.604,1.097,1.313
7.214,0.282,1.137,1.4
5.66,0.168,0.591,1.342
10.55,1.001,2.166,1.779
25.22,0.751,2.258,2.781
33.41,1.818,2.787,6.648
51.87,1.3,4.87,6.581
18.98,0.604,1.324,4.578
22.26,0.574,1.032,6.318
44.17,1.359,3.479,13.81
31.83,0.492,3.036,9.835
49.84,0.787,11.31,6.699
22.34,0.562,2.972,3.44
16.26,2.182,2.106,2.514
14.36,0.703,2.334,4.018
14.54,0.363,2.173,2.957
10.28,0.308,1.496,2.176
11.03,0.361,1.573,2.738
10.22,0.238,1.482,1.764
47.76,2.438,6.621,5.983
34.67,0.78,3.769,5.486
19.62,0.397,1.839,4.231
15.92,0.306,1.366,3.667
15.89,0.668,1.459,3.921
14.4,0.586,1.277,3.658
11.52,0.328,1.05,3.081
9.416,0.257,0.909,2.759
8.074,0.215,0.736,2.479
6.945,0.18,0.65,2.198
6.291,0.161,0.609,2.027
5.904,0.174,0.588,1.944
5.851,0.193,0.575,1.987
7.122,0.191,0.684,1.933
6.198,0.153,0.612,1.823
5.207,0.144,0.56,1.708
4.556,0.132,0.502,1.59
6.857,0.24,0.566,4.066
15.48,0.442,0.938,3.687
65.7,3.279,4.587,5.555
26.04,2.283,1.935,4.12
13.22,0.648,1.034,2.97
9.2,0.406,0.806,2.523
7.696,0.324,0.673,2.48
7.818,0.258,0.644,2.391
6.488,0.215,0.626,2.15
5.772,0.279,0.631,2.074
6.738,0.271,0.664,2.198
6.029,0.197,0.661,1.936
4.99,0.401,0.652,1.845
80.96,0.724,3.428,14.05
23.87,0.308,1.199,3.54
19.75,2.278,1.142,2.412
16.18,0.925,1.383,2.197
26.56,0.765,2.5,3.481
59.44,1.406,3.283,15.49
73.82,1.475,7.582,13.47
50.31,3.083,8.032,8.62
127.4,5.265,17.55,26.36
66.7,1.428,6.038,16.82
31.74,0.756,2.857,11.61
23.09,0.566,2.058,9.117
67.67,2.193,5.026,20.1
65.75,2.367,7.604,16.87
47.71,1.161,3.848,16.98
126,2.748,20.56,20.06
78.76,1.605,7.97,16.55
38.49,0.832,3.585,12.84
42.03,0.715,2.709,20.94
36.04,0.878,3.682,12.85
27.72,0.685,2.757,11.34
98.1,0.948,11.05,16.4
51.32,0.62,4.998,11.13
25.35,0.428,2.298,8.304
18.82,0.338,1.675,6.683
15.48,0.288,1.431,5.505
13.19,0.259,1.241,4.633
11.46,0.231,1.031,3.991
10.16,0.212,0.954,3.613
10.11,0.222,0.913,3.752
32.98,0.707,3.342,10.37
61.86,1.539,9.666,10.5
23.85,0.494,2.904,6.39
15.96,0.338,1.869,5.183
12.83,0.274,1.456,4.529
10.99,0.234,1.22,4.058
9.741,0.224,1.05,3.734
13.88,0.532,1.761,4.9
11.9,0.3,1.314,3.835
9.326,0.275,1.077,3.357
9.078,0.36,0.979,3.35
11.76,0.437,0.965,3.764
73.16,1.704,4.678,21.11
115.3,3.586,10,35.07
127.2,1.528,10.14,29.4
122.3,4.046,13.26,39.39
106.9,2.419,12.74,28.32
72.49,1.553,9.317,21.62
60.38,1.586,5.731,19.65
54.39,1.388,6.079,16.42
39.82,0.887,4.164,14.86
42.62,0.664,3.54,14.27
33.05,0.684,2.492,12.28
25.23,0.557,2.011,9.61
25.69,0.661,2.162,9.417
31.05,0.95,3.173,9.782
37.53,1.299,4.448,9.785
23.73,0.589,2.525,7.705
18.39,0.877,1.904,6.812
24.41,1.175,2.759,7.1
18.04,0.668,2.016,5.456
19.19,1.144,1.983,5.427
20.82,0.73,2.061,5.086
25.74,2.225,2.792,6.219
17.32,0.711,1.874,4.724
16.32,1.174,1.722,7.217
32.93,0.932,2.79,8.197
51.87,0.917,3.827,12.05
272.1,5.819,38.05,61.55
141.6,2.52,17.99,35.24
93.24,3.774,10.97,25.16
56.42,1.887,6.422,17.24
38.73,1.243,4.778,13.13
27.6,0.876,3.138,10.17
22.27,0.643,2.364,8.237
18.38,0.566,1.916,6.958
15.85,0.496,1.609,5.891
13.88,0.422,1.422,5.046
12.91,0.441,1.375,4.918
12.88,0.386,1.289,4.35
11.09,1.023,1.103,3.714
17.6,1.447,3.507,4.014
14.69,0.959,2.292,3.808
19.49,1.648,2.801,4.934
94.81,7.646,18.6,26.65
297.4,13.7,112.8,26.22
151.2,6.052,23.75,21.27
65.73,1.95,8.795,14.29
127.7,15.09,42.47,32.37
587.2,31.3,152.6,83.39
151.5,4.594,19.46,40.55
85.96,2.382,12.38,23.76
43.55,1.716,5.962,16.01
31.55,1.331,4.264,12.12
25.04,1.046,3.146,9.675
20.45,0.907,2.473,7.95
17.42,0.779,2.052,6.581
15.46,0.696,1.791,5.554
14.57,0.681,1.628,4.709
13.37,0.599,1.413,4.162
11.9,0.579,1.253,3.708
10.78,0.532,1.135,3.355
10.1,0.489,1.045,3.109
9.969,0.463,0.984,2.883
9.725,0.59,1.074,2.731
8.821,0.503,0.959,2.552
8.878,0.352,1.059,2.615
296.5,11.64,43.41,65.67
97.99,4.077,11.03,24.88
108,2.867,13.77,29.26
315.9,6.091,45.93,45.95
109,2.077,12.31,25.2
153.2,7.988,23.42,35.29
149.7,1.901,11.08,53.47
330.4,11.87,53.32,108.7
224.1,2.591,19.1,54.04
71.12,1.399,6.657,25.38
221.8,2.565,21.51,41.83
109.6,2.02,16.73,26.35
63.94,1.223,7.347,21.75
67.91,1.497,8.014,19.9
39.87,0.898,4.789,13.57
29.36,0.646,3.305,10.64
23.98,0.561,2.688,8.689
27.04,2.533,3.313,8.075
30.41,1.15,3.769,7.268
20.13,0.702,2.397,5.695
17.64,0.616,2.044,5.027
17.8,0.845,2.477,4.644
15.73,0.559,1.953,4.097
12.51,0.454,1.47,3.57
11.73,0.416,1.35,3.248
13.18,0.482,1.592,3.485
237,9.618,62.07,36.96
218.8,2.152,16.81,25.29
186,3.604,15.85,75.77
244.7,2.01,17.53,70.35
151.1,1.645,17.97,53
66.72,0.892,5.99,23.75
44.85,2.639,6.149,23.25
232.3,6.965,33.7,42
76.94,1.353,8.084,23.8
83.81,3.032,13.69,20.44
73.75,2.111,9.802,17.14
49.33,1.42,5.398,14.07
125.4,1.796,12.79,39.63
118.6,1.612,7.911,33.68
173.9,3.63,22.09,30.18
97.18,1.872,11.06,21.78
65.01,1.653,7.474,16.78
41.62,1.274,4.738,12.56
76.9,2.369,8.455,14.51
72.9,1.177,5.995,16.2
89.82,0.919,5.983,24.93
84.43,0.851,7.071,20.23
71.13,4.527,10.79,16.3
204.4,7.96,36.79,35.14
118,2.179,15.51,25.56
52.99,1.149,6.214,15.67
36.39,0.992,4.938,12.03
35.8,1.313,5.317,10.5
28.48,1.014,4.25,8.453
52.28,0.954,5.564,11.33
59.28,1.256,5.242,12.71
29.76,0.724,3.195,7.969
23.85,0.631,2.67,7.064
40.64,0.775,4.479,7.904
37.42,3.934,8.084,7.196
171.7,3.868,18.23,32.98
48.21,1.257,5.305,13.42
42.95,3.562,10.23,11.81
140,4.61,28.8,23.88
60.51,1.786,7.485,18.06
63.55,1.296,6.043,17.86
42.41,1.701,5.061,13.89
76.21,2.753,9.355,17.21
54.22,2.308,5.284,14.73
41.01,1.415,4.204,12.04
40.72,1.011,3.794,11.04
27.84,1.373,2.964,8.497
43.61,6.197,5.877,8.131
32.13,1.707,4.045,7.161
24.78,1.056,3.012,6.277
21.06,0.865,2.505,5.608
18.68,0.737,2.195,5.077
16.85,0.654,1.933,4.604
15.31,0.564,1.737,4.238
258,5.365,65.21,51.16
160.5,1.734,14.07,31.36
66.55,1.266,7.658,17.84
44,0.937,5.559,13.1
41.61,0.775,4.774,11.98
38.31,0.684,3.951,12.06
45.71,1.923,6.697,10.46
47.77,2.189,7.475,8.596
28.98,0.853,3.96,7.04
23.04,0.717,2.935,6.133
23.37,0.697,2.657,6.597
22.61,0.555,2.35,5.92
17.26,0.48,1.924,4.924
15.64,0.448,1.763,4.511
15.22,0.406,1.678,4.205
13.45,0.362,1.497,3.759
12.14,0.325,1.338,3.438
11.06,0.304,1.227,3.154
10.53,0.281,1.131,2.999
9.778,0.266,1.044,2.859
9.054,0.249,0.978,2.679
8.391,0.268,0.913,2.552
7.801,0.237,0.849,2.414
7.573,0.232,0.792,2.297
6.881,0.218,0.772,2.212
5.898,0.269,0.907,2.183
10.34,0.886,2.267,3.078
25.38,1.111,9.124,4.526
43.21,1.466,7.902,6.816
20.69,0.588,3.208,4.327
14.02,0.412,2.193,3.49
16.71,1.615,4.162,4.834
116.6,4.995,16.92,20.26
396.4,6.776,56.66,65.83
226.6,1.967,15.41,56.79
69.18,2.428,7.87,21.86
329.5,8.235,35.67,95.79
197.1,7.392,33.11,44.41
97.78,2.612,12.27,27.19
53.87,1.321,5.818,18.37
39.99,1.109,4.767,13.47
31.26,0.896,3.724,10.49
24.74,0.754,2.816,8.596
20.82,0.673,2.372,7.322
81.83,3.778,32.77,9.584
179.5,8.039,48.94,15.81
100.3,2.442,15.56,15.43
363,16.35,86.32,64.93
243.9,5.034,31.14,44.03
286.2,9.212,49.35,54.52
139.4,3.353,16.18,44.21
152.8,3.315,15.51,35.82
97.35,2.309,11.23,22.56
53.77,1.238,5.294,16.92
36.66,0.934,3.759,13.07
27.78,0.745,2.818,10.36
22.83,0.617,2.306,8.58
19,0.538,1.969,7.373
17.62,0.536,1.895,6.679
15.93,0.47,1.663,5.712
14.22,0.405,1.455,4.522
12.62,0.36,1.247,3.89
11.57,0.335,1.198,3.494
10.73,0.306,1.122,3.175
10.14,0.297,1.063,2.972
9.629,0.277,0.948,2.819
8.968,0.261,0.888,2.554
8.33,0.236,0.822,2.405
22.86,0.248,1.715,2.865
17.45,0.224,1.059,2.872
12.2,0.196,0.867,2.465
9.172,0.175,0.711,2.167
7.933,0.165,0.656,2.017
7.347,0.153,0.624,1.88
6.84,0.145,0.581,1.833
6.541,0.14,0.55,1.774
6.278,0.135,0.529,1.698
5.949,0.131,0.532,1.631
5.731,0.131,0.532,1.592
5.746,0.132,0.527,1.602
5.705,0.143,0.522,1.602
10.07,0.581,1.525,2.382
23.21,1.858,7.601,3.167
15.15,0.484,2.865,2.763
20.56,0.447,4.678,3.191
51.9,0.594,10.32,4.446
58.21,0.535,7.059,5.815
38.4,0.527,4.872,4.775
19.33,0.361,2.537,2.809
12.52,0.266,1.672,2.279
77.54,2.804,6.854,7.536
34.9,0.746,2.767,3.669
19.09,0.706,1.858,2.764
21.05,0.628,3.111,4.195
14.84,0.425,1.782,3.687
12.87,0.361,1.535,3.888
11.45,0.316,1.666,4.231
12.77,0.288,1.605,4.147
10.17,0.236,1.149,3.308
8.499,0.202,0.9,2.813
7.58,0.31,0.782,2.569
7.212,0.398,0.818,2.57
7.516,0.319,1.016,2.524
8.224,0.247,1.295,2.499
7.89,0.213,0.984,2.479
7.845,0.209,1.255,2.792
7.974,0.179,1.163,2.808
14.07,0.716,1.231,9.462
15.86,0.386,1.203,6.172
11.33,0.287,1.112,4.309
17.92,0.643,2.05,7.281
18.99,0.57,1.354,9.379
17.57,0.393,1.849,6.261
20.83,0.711,6.127,4.982
18.02,0.615,4.873,5.518
21.93,0.946,3.852,5.009
12.88,0.48,1.977,4.104
10.45,0.361,1.563,3.729
12.03,0.701,1.809,3.619
12.94,0.397,1.552,3.367
42.76,2.408,11.94,9.032
20.31,0.612,3.213,5.662
33.38,0.486,2.812,14.11
41.37,0.38,2.715,11
61.1,0.438,3.174,11.23
40,0.55,3.649,14.4
64.39,0.701,3.872,23.04
54.85,0.737,4.154,16.52
31.37,0.864,3.913,11.06
100.7,3.455,10.36,23.42
37.23,0.78,3.578,12.06
84.3,0.572,3.052,30.82
127.3,2.765,10.69,21.57
52.68,0.903,4.56,14.25
30.23,0.59,2.575,10.49
22.31,0.453,1.966,8.139
18.11,0.403,1.635,6.721
16.91,0.58,1.718,5.94
14.54,0.4,1.424,4.822
12.07,0.307,1.179,4.046
10.53,0.26,1.052,3.568
9.527,0.237,0.943,3.215
8.943,0.215,0.867,2.967
8.264,0.202,0.825,2.705
7.713,0.182,0.76,2.479
7.232,0.167,0.708,2.337
6.831,0.155,0.671,2.214
6.373,0.162,0.602,2.059
6.185,0.206,0.609,1.959
6.001,0.168,0.605,1.927
6.038,0.145,0.577,1.934
5.995,0.173,0.596,2.099
5.985,0.135,0.499,1.815
28.21,1.98,3.212,2.7
19.84,0.49,1.839,3.009
11.2,0.297,1.06,2.539
8.65,0.219,0.815,2.259
6.95,0.178,0.659,1.949
6.031,0.144,0.528,1.78
6.581,0.172,0.515,3.046
7.334,0.147,0.492,2.303
6.038,0.135,0.478,1.944
5.081,0.125,0.417,1.737
4.748,0.13,0.418,1.665
5.57,0.157,0.452,1.863
10.36,0.173,1.394,2.349
9.909,0.149,0.895,2.351
10.12,0.947,1.167,1.959
53.98,3.697,10.58,2.717
34.14,1.761,4.397,5.631
58.58,2.707,4.09,12.04
32.96,0.912,2.29,8.841
19.2,0.517,1.559,5.095
13.11,0.432,1.151,3.924
12.85,0.456,1.385,3.44
10.04,0.344,1.017,2.898
8.714,0.289,0.906,2.619
7.748,0.238,0.778,2.383
6.903,0.21,0.716,2.205
6.32,0.191,0.637,2.026
5.835,0.165,0.588,1.89
5.422,0.147,0.535,1.791
5.192,0.136,0.508,1.727
5.766,0.146,0.474,1.906
6.303,0.138,0.468,1.889
8.099,0.443,0.908,2.159
12.24,0.295,1.265,2.152
8.947,0.415,1.031,1.938
9.618,0.315,1.122,1.986
7.087,0.205,0.763,1.732
5.813,0.162,0.607,1.581
5.302,0.15,0.55,1.538
13.65,1.065,0.595,2.257
32.99,1.711,3.005,3.331
11.92,0.431,1.02,2.136
8.416,0.286,0.801,1.824
8.68,0.577,0.696,1.624
25.79,4.159,3.818,1.779
48.99,3.585,7.834,3.731
33.74,1.04,4.472,4.072
15.02,1.596,2.084,2.571
11.34,0.824,1.542,2.191
9.306,0.544,1.243,1.951
7.935,0.411,1.028,1.791
7.125,0.343,0.91,1.682
6.509,0.28,0.796,1.62
5.953,0.244,0.712,1.489
5.542,0.221,0.66,1.431
5.239,0.207,0.598,1.389
5.168,0.183,0.544,1.345
4.741,0.166,0.512,1.285
4.498,0.15,0.493,1.267
4.288,0.139,0.493,1.241
4.1,0.131,0.47,1.187
3.835,0.123,0.416,1.166
3.646,0.117,0.401,1.135
3.613,0.113,0.404,1.183
3.543,0.112,0.393,1.156
3.519,0.118,0.427,1.123
3.428,0.105,0.407,1.087
4.367,0.437,0.549,1.391
6.611,0.241,0.616,2.472
5.739,0.162,0.621,1.729
5.101,0.135,0.704,1.459
5.992,0.612,1.681,1.526
16.62,0.533,2.617,2.813
8.713,0.269,1.08,2.023
16.5,0.551,4.007,6.497
76.31,1.687,10.29,15.91
205.6,4.847,43.91,47.79
163.8,1.584,14.95,25.15
102.6,1.228,8.54,14.94
61.11,1.495,4.458,12.35
67.94,1.57,5.417,29.38
76.74,1.136,5.14,26
48.33,2.084,4.159,21.26
216.2,7.885,43.16,36.38
182.6,5.658,27.37,32.04
90.19,1.929,11.2,27.01
72.11,1.481,12.47,23.47
99.25,5.197,20.52,24.13
364.8,9.498,143.1,62.78
185.3,3.475,25.75,48.78
87.7,3.31,13.16,27.07
74.13,1.945,10.06,19.58
51.1,1.503,5.699,16.62
56.98,2.191,9.95,14.18
80.95,3.313,13.55,21.2
193.3,7.748,29.35,70
255.6,7.065,47.26,77.49
123.4,3.06,17.56,39.44
70.82,4.176,8.277,24
53.04,2.587,6.561,18.34
37.96,1.675,4.956,13.96
30.59,1.462,4.042,11.15
23.84,0.997,2.952,8.926
19.89,0.791,2.406,7.4
17.24,0.664,2.027,6.31
19.03,1.182,2.723,8.918
70.32,3.237,8.425,15.3
32.15,1.507,4.597,8.633
20.61,0.861,2.521,6.909
16.68,0.654,1.94,5.832
15.15,0.831,1.828,5.435
39.53,2.346,7.506,6.451
32.11,2.133,5.067,5.922
20.95,1.195,2.959,5.705
33.16,1.251,6.537,6.839
57.36,2.105,10.1,13.02
47.45,1.608,9.017,8.702
65.12,2.581,15.79,9.26
53.95,1.344,8.612,9.495
178.9,2.086,19.74,25.46
93.84,1.312,9.24,19.95
56.96,1.135,5.168,18.48
44.27,0.915,4.027,14.67
29,0.711,2.892,11.85
23.39,0.607,2.344,9.788
19.83,0.54,1.991,8.13
17.23,0.481,1.77,6.495
15.46,0.452,1.66,5.173
56.56,0.568,6.28,5.557
151.7,2.502,15.09,15.3
41.08,0.869,4.123,6.843
27.95,0.642,3.267,4.47
22.54,0.555,2.559,2.998
19.47,0.521,2.416,2.472
24.04,0.514,2.62,2.577
66.58,3.39,4.224,12.3
150.2,3.05,18.07,18.91
67.92,1.239,8.76,16.52
80.22,1.199,11.47,19.29
72.78,1.22,7.228,20.26
61.84,0.885,5.546,17.51
228.2,4.442,27.3,46.66
65.81,1.37,6.024,22.73
52.48,1.919,6.214,17.41
214.3,7.256,34.62,38.8
178.1,3.597,21.82,30.35
80.04,1.541,9.492,22.46
49.85,1.424,5.822,16.11
83.9,3.942,14.9,18.91
42.41,1.254,5.702,12.92
